source_id,ingest_mode,title,creator_or_speaker,source_type,first_published,date_of_event,url_or_local_reference,language,grade,rights_or_permission,privacy_level,content_checksum,coverage_topics,location_marker,transcript_status,notes
"P-1964-001","web","The Messenger Lectures: The Character of Physical Law","Richard P. Feynman","video lectures","1964","1964","https://www.feynmanlectures.caltech.edu/fml.html","en","A","video streamed by Caltech/Cornell arrangement; no redistribution","public","","scientific method;gravitation;symmetry;quantum mechanics;new laws","seven Messenger Lectures; especially Seeking New Laws","selected lectures analyzed","Primary audiovisual source."
"P-1965-001","web","New Textbooks for the New Mathematics","Richard P. Feynman","essay","1965-03","1964-1965","https://calteches.library.caltech.edu/247/2/ES28.6.1965.pdf","en","A","Caltech magazine usage policy; short quotations only","public","","textbook review;mathematics education;meaning vs terminology","Engineering and Science 28(6)","article spot-checked","Based on California State Curriculum Commission work."
"P-1965-002","web","The Development of the Space-Time View of Quantum Electrodynamics","Richard P. Feynman","Nobel lecture","1965-12-11","1965-12-11","https://www.nobelprize.org/prizes/physics/1965/feynman/lecture/","en","A","Nobel Foundation copyright; short quotations only","public","","QED;research process;failed paths;multiple representations","complete Nobel lecture","full page analyzed","Core source for how he reconstructed his research path."
"P-1965-003","web","Richard P. Feynman - Biographical","Richard P. Feynman / Nobel Foundation","official biographical note","1965","1965","https://www.nobelprize.org/prizes/physics/1965/feynman/biographical/","en","A","Nobel Foundation copyright; metadata and short quotations only","public","","biography;education;appointments;awards","official Nobel biography","full page verified","Written around the award; later death date appended."
"P-1965-004","web","Richard P. Feynman - Facts","Nobel Prize Outreach","official facts page","1965","1965","https://www.nobelprize.org/prizes/physics/1965/feynman/facts/","en","A","Nobel Foundation copyright; metadata and short quotations only","public","","Nobel prize;QED;Feynman diagrams","facts and work sections","full page verified","Concise institutional summary."
"P-1965-005","web","Richard P. Feynman - Nobel Banquet Speech","Richard P. Feynman","speech","1965-12-10","1965-12-10","https://www.nobelprize.org/prizes/physics/1965/feynman/speech/","en","A","Nobel Foundation copyright; short quotations only","public","","motivation;recognition;discovery","complete banquet speech","full page analyzed","Separates discovery reward from institutional prize."
"P-1965-006","web","Richard P. Feynman - Nobel Prizewinner","Tim Hendrickson; Stuart Galley; Fred Lamb","institutional profile","1965-11","1965","https://calteches.library.caltech.edu/2398/","en","B","Caltech educational/noncommercial usage policy","public","","Nobel reaction;QED reception;Caltech","Engineering and Science 29(2), 10-12","article metadata and excerpts verified","Near-contemporary institutional account."
"P-1966-001","web","Oral history interview with Richard Phillips Feynman","Richard P. Feynman; interviewer Charles Weiner","multi-session oral history","1966-03-04 to 1973-02-04","1966-1973","https://history.aip.org/catalog/icos/5020.html","en","A","AIP archive; reproduction requires archive terms","public","","early life;Princeton;Los Alamos;QED;helium;weak interaction;education;discovery","AIP-ICOS 5020; multiple sessions","catalog scope verified; session transcripts partly inaccessible","Core research source; continue session-level extraction in next build."
"P-1972-001","web","Oersted Medal award and address record","Richard P. Feynman; AAPT","award / teaching address","1972","1972","https://www.aapt.org/Programs/awards/oersted.cfm","en","A","AAPT copyright; metadata only","public","","physics teaching;education award","1972 recipient; Am. J. Phys. 57, 492 (1989)","award metadata verified","Address publication should be obtained for deeper extraction."
"P-1974-001","web","Cargo Cult Science","Richard P. Feynman","commencement address","1974","1974","https://calteches.library.caltech.edu/51/2/CargoCult.htm","en","A","Caltech copyright/usage policy; short quotations only","public","","scientific integrity;bias;negative results;self-deception","1974 Caltech commencement address","full page analyzed","Core scientific-integrity source."
"P-1975-001","web","Los Alamos From Below: Reminiscences 1943-1945","Richard P. Feynman","public lecture / memoir","1976","1975","https://calteches.library.caltech.edu/34/3/FeynmanLosAlamos.htm","en","A","Caltech copyright/usage policy; short quotations only","public","","Manhattan Project;calculation teams;security;war;reflection","1975 Santa Barbara lecture","full page analyzed","First-person retrospective; anecdotes require corroboration."
"P-1979-001","web","Douglas Robb Memorial Lectures on QED","Richard P. Feynman","public video lectures","1979","1979","https://www.richardfeynman.com/works/media.html","en","A","copyrighted audiovisual; metadata only unless licensed","public","","QED;public explanation;amplitudes;light","four lectures; later QED book","cataloged; not fully transcribed","Primary audiovisual series."
"P-1981-001","web","The Pleasure of Finding Things Out","Richard P. Feynman; BBC Horizon","television interview","1981-11-23","1981","https://videos.cern.ch/record/1055846","en","A","BBC/CERN presentation; do not redistribute video/transcript","public","","curiosity;father;Manhattan Project;Nobel;uncertainty","BBC Horizon interview","video catalog verified; selected sections reviewed","Primary interview; edited broadcast."
"P-1982-001","web","Simulating Physics with Computers","Richard P. Feynman","conference paper / keynote","1982","1981-05","https://doi.org/10.1007/BF02650179","en","A","Springer copyright; metadata and short quotations only","public","","computation;simulation;quantum systems;physical models","Int. J. Theor. Phys. 21, 467-488","bibliography and opening verified","Primary quantum-simulation source."
"P-1983-001","web","Fun to Imagine","Richard P. Feynman; BBC","television interview series","1983","1983","https://www.ted.com/talks/richard_feynman_physics_is_fun_to_imagine","en","A","BBC archival footage licensed by platform; no redistribution","public","","everyday physics;explanation;magnets;fire;atoms","archival excerpts; official estate catalog","selected video segments reviewed","Primary voice/style source; platform version may be excerpted."
"P-1984-001","web","Tiny Machines: The Feynman Talk on Nanotechnology","Richard P. Feynman","video lecture","1984","1984","https://www.richardfeynman.com/works/media.html","en","A","copyrighted audiovisual; metadata only unless licensed","public","","nanotechnology;scaling;engineering feasibility","official estate media list","cataloged; not transcribed","Follow-up to Plenty of Room."
"P-1985-001","web","Quantum Mechanical Computers","Richard P. Feynman","journal article / lecture","1985","1984","https://opg.optica.org/on/abstract.cfm?URI=on-11-2-11","en","A","Optica copyright; metadata only without access","public","","quantum computing;reversible computing;physical limits","Optics News 11(2), 11-20","metadata verified","Primary source; full text not ingested."
"P-1985-002","web","Surely You're Joking, Mr. Feynman!","Richard P. Feynman; edited by Ralph Leighton","edited oral memoir","1985","various","https://www.richardfeynman.com/works/popular.html","en","B","book copyright; bibliographic record only","public","","curiosity;Los Alamos;Brazil;education;personal anecdotes","official estate bibliography","cataloged; selected known chapters not copied","First-person stories are edited performances, not verbatim diary."
"P-1985-003","web","Idiosyncratic Thinking Workshop","Richard P. Feynman","video workshop","1985","1985","https://www.richardfeynman.com/works/media.html","en","A","copyrighted audiovisual; metadata only unless licensed","public","","thinking habits;problem solving;communication","official estate media list","cataloged; not transcribed","Candidate for later style extraction."
"P-1986-001","web","Personal Observations on Reliability of Shuttle","Richard P. Feynman","government commission appendix","1986","1986","https://www.nasa.gov/history/rogersrep/v2appf.htm","en","A","US government report; verify reuse status for embedded material","public","","Challenger;risk;engineering;management;O-rings;reliability","Rogers Commission Report, Vol. 2, Appendix F","full page analyzed","Core decision and engineering-integrity source."
"P-1986-002","web","Report of the Presidential Commission on the Space Shuttle Challenger Accident","Rogers Commission","government report","1986","1986","https://www.nasa.gov/history/rogersrep/genindex.htm","en","A","US government report; verify reuse status for embedded material","public","","Challenger;organizational failure;technical evidence","full report index and main findings","index verified; selected context reviewed","Contextualizes Feynman's appendix within commission work."
"P-1986-003","web","Elementary Particles and the Laws of Physics","Richard P. Feynman; Steven Weinberg","Dirac Memorial Lectures","1987","1986","https://www.richardfeynman.com/works/textbooks.html","en","A","book/lecture copyright; bibliographic record only","public","","particles;antiparticles;physical law","official estate bibliography","cataloged; not ingested","Late technical public lecture."
"P-1987-001","web","Mr. Feynman Goes to Washington","Richard P. Feynman","first-person article","1987","1986","https://calteches.library.caltech.edu/view/person-az/Feynman-R-P.type.html","en","A","Caltech usage policy; short quotations only","public","","Challenger;investigation;bureaucracy;decision process","Engineering and Science 51(1), 6-22","cataloged; selected sections reviewed","First-person counterpart to Appendix F."
"P-1988-001","web","What Do You Care What Other People Think?","Richard P. Feynman; edited by Ralph Leighton","edited oral memoir","1988","various","https://www.richardfeynman.com/works/popular.html","en","B","book copyright; bibliographic record only","public","","Arline;Challenger;personal values;memoir","official estate bibliography","cataloged; not ingested","Edited posthumous memoir; not treated as verbatim record."
"P-1988-002","web","Feynman 1918-1988","Jacqueline Bonner / Caltech","institutional obituary","1988","1988-02","https://calteches.library.caltech.edu/3581/","en","B","Caltech usage policy; metadata and short quotations only","public","","biography;career;QED;death","Engineering and Science, Spring 1988","article metadata and excerpt verified","Contemporary institutional obituary."
"P-1988-003","web","Caltech memorial issue after Feynman's death","Caltech faculty and students","campus newspaper memorial","1988-02-19","1988","https://campuspubs.library.caltech.edu/1494/1/1988_02_19_89_17.pdf","en","B","Caltech archive; short quotations only","public","","Physics X;teaching;colleague memories","The California Tech 89(17)","selected excerpts verified","Useful for no-credit Physics X and teaching availability."
"P-1988-004","web","Richard Feynman papers, 1933-1988","Caltech Archives","archival collection finding record","1988","1933-1988","https://history.aip.org/catalog/icos/284.html","en","A","archive terms apply; collection not bulk copied","public","","correspondence;notes;lectures;QED;Challenger;computers","Caltech Institute Archives collection","catalog scope verified","Major future expansion source."
"P-1992-001","web","Genius: The Life and Science of Richard Feynman","James Gleick","scholarly biography","1992","1918-1988","book: Pantheon / Vintage","en","B","book copyright; bibliographic record only","public","","biography;science;public persona;colleagues","whole book","cataloged; not ingested","Major secondary biography; use to corroborate and challenge memoir."
"P-1994-001","web","The Beat of a Different Drum: The Life and Science of Richard Feynman","Jagdish Mehra","scholarly biography","1994","1918-1988","book: Oxford University Press","en","B","book copyright; bibliographic record only","public","","scientific biography;technical work;life","whole book","cataloged; not ingested","Technically detailed secondary biography."
"P-1996-001","web","No Ordinary Genius: The Illustrated Richard Feynman","Christopher Sykes, editor","documentary companion / biography","1996","various","https://www.richardfeynman.com/works/popular.html","en","B","book copyright; bibliographic record only","public","","interviews;photographs;public persona","official estate bibliography","cataloged; not ingested","Edited retrospective."
"P-1997-001","web","Feynman's Lost Lecture: The Motion of Planets Around the Sun","David Goodstein; Judith Goodstein; Richard Feynman","reconstructed lecture","1997","1964","https://calteches.library.caltech.edu/3822/","en","B","book/article copyright; metadata and short quotations only","public","","geometry;Kepler;problem solving;archival reconstruction","Caltech archive discovery article","article analyzed; book not ingested","Shows visual-geometric reconstruction and archival provenance."
"P-1999-001","web","The Meaning of It All","Richard P. Feynman","published lecture collection","1999","1963","https://www.richardfeynman.com/works/popular.html","en","A","book copyright; bibliographic record only","public","","science;uncertainty;religion;citizenship","official estate bibliography","cataloged; not ingested","Use cautiously outside physics; lecture context matters."
"P-1999-002","web","The Pleasure of Finding Things Out: The Best Short Works","Richard P. Feynman; Jeffrey Robbins, editor","edited collection","1999","various","https://www.richardfeynman.com/works/popular.html","en","B","book copyright; bibliographic record only","public","","short works;interviews;science;education","official estate bibliography","cataloged; source texts preferred separately","Compilation is not treated as independent evidence when original source exists."
"P-1999-003","web","Engineering and Science memorial retrospective on Feynman","Caltech contributors","institutional retrospective","1999","1988 and retrospective","https://calteches.library.caltech.edu/676/","en","B","Caltech usage policy; short quotations only","public","","memorial;colleague views;legacy","Engineering and Science 62(4)","cataloged; selected excerpts reviewed","Secondary memories; potential hagiography considered."
"P-2000-001","web","Selected Papers of Richard Feynman: With Commentary","Richard P. Feynman; Laurie M. Brown, editor","selected scientific papers","2000","1940s-1980s","https://www.richardfeynman.com/works/scientific.html","en","B","book copyright; bibliographic record only","public","","scientific works;historical commentary","official estate bibliography","cataloged; originals used where possible","Useful map, not independent evidence for papers."
"P-2000-002","web","Feynman Lectures on Computation","Richard P. Feynman; Tony Hey; Robin W. Allen","edited lecture book","2000","1980s","https://www.richardfeynman.com/works/textbooks.html","en","B","book copyright; bibliographic record only","public","","computation;information;reversible computing","official estate bibliography","cataloged; not ingested","Edited posthumous course material."
"P-2005-001","web","Perfectly Reasonable Deviations from the Beaten Track","Richard P. Feynman; Michelle Feynman, editor","letters","2005","1939-1987","https://calteches.library.caltech.edu/4136","en","B","book copyright; review and metadata only","public","","letters;family;students;work habits;daily life","Caltech review and official bibliography","cataloged; not ingested","Selected correspondence; editorial selection must be acknowledged."
"P-2011-001","web","Popular misconceptions about The Feynman Lectures on Physics","Michael A. Gottlieb / FLP site","historical correction","2011","1961-1963","https://www.feynmanlectures.caltech.edu/info/popular_misconceptions_about_FLP.html","en","B","Caltech website copyright; short quotations only","public","","teaching effectiveness;course reception;self-assessment","complete page","full page analyzed","Corrects claim that the course simply failed; evidence remains mixed."
"P-2011-002","web","Feynman's Legacy","American Scientist reviewer","critical review","2011","retrospective","https://www.americanscientist.org/article/feynman%E2%80%99s-legacy","en","C","article copyright; summary only","public","","myth;scientific biography;technical limitations","review essay","full page summary reviewed","Useful counterweight to hero narrative; secondary opinion."
"P-2013-001","web","The Feynman Lectures on Physics official website and rights statement","Caltech; Michael Gottlieb; Rudolf Pfeiffer","official digital edition","2013","1961-1963","https://www.feynmanlectures.caltech.edu/info/index_content.html","en","A","Caltech owns rights; online use only; no bulk redistribution","public","","source provenance;copyright;digital edition","site information page","full page verified","Authority and rights anchor for lecture sources."
"P-2013-002","web","Richard Feynman, sexism and changing perceptions of a scientific icon","Ashutosh Jogalekar","critical commentary","2013","retrospective","https://www.scientificamerican.com/blog/the-curious-wavefunction/richard-feynman-sexism-and-changing-perceptions-of-a-scientific-icon/","en","C","article copyright; summary only","public","","sexism;public image;biography;critical reading","full article","summary reviewed","Opinion source; use alongside primary memoir and other criticism."
"P-2015-001","web","Feynman's Nobel Year","Douglas Smith / Caltech","institutional retrospective","2015-10-21","1965 and retrospective","https://www.caltech.edu/about/news/feynmans-nobel-year-48524","en","B","Caltech copyright; metadata and short quotations only","public","","Nobel;QED;FLP production;editing","complete article","full page analyzed","Includes production history and scale of editing FLP."
"P-2018-001","web","A Centennial Celebration for Richard Feynman","Whitney Clavin / Caltech","institutional event report","2018-05-16","2018","https://www.caltech.edu/about/news/centennial-celebration-richard-feynman-82264","en","B","Caltech copyright; short quotations only","public","","family;colleagues;Physics X;legacy;virtual representation","complete article","full page analyzed","Contains family and colleague testimony; celebratory context."
"P-2018-002","web","Rethinking our physics heroes","Nature Physics editorial","editorial","2018","retrospective","https://www.nature.com/articles/s41567-018-0263-0","en","B","Nature copyright; summary only","public","","sexism;scientific heroes;culture;legacy","editorial","full page summary reviewed","Strong corrective against uncritical hero worship."
"P-2021-001","web","Richard Feynman official biography","Estate of Richard Feynman","official estate biography","2021","1918-1988","https://www.richardfeynman.com/about/bio.html","en","B","estate copyright; metadata and short quotations only","public","","family;career;nanotechnology;Nobel;Challenger","official biography","full page verified","Estate-authored summary; not independent on contested issues."
"P-2021-002","web","Selected Scientific Works","Estate of Richard Feynman","official bibliography","2021","1942-2000","https://www.richardfeynman.com/works/scientific.html","en","B","estate copyright; bibliographic metadata only","public","","papers;thesis;QED;bibliography","official works list","full page verified","Used to discover primary papers."
"P-2021-003","web","Textbooks and Technical Books","Estate of Richard Feynman","official bibliography","2021","1961-2000","https://www.richardfeynman.com/works/textbooks.html","en","B","estate copyright; bibliographic metadata only","public","","textbooks;lectures;technical books","official works list","full page verified","Bibliographic map only."
"P-2021-004","web","Popular Works","Estate of Richard Feynman","official bibliography","2021","1985-2005","https://www.richardfeynman.com/works/popular.html","en","B","estate copyright; bibliographic metadata only","public","","memoirs;letters;popular books","official works list","full page verified","Bibliographic map only."
"P-2021-005","web","Audio and Video Works","Estate of Richard Feynman","official media bibliography","2021","1964-1988","https://www.richardfeynman.com/works/media.html","en","B","estate and media-owner copyrights; metadata only","public","","voice;style;BBC;lectures;workshops","official media list","full page verified","Discovery list; individual recordings require rights checks."
"P-2023-001","web","Feynman's Lecture Notes digital collection","Caltech / FLP editors","archival digital collection","2023","1961-1964","https://www.feynmanlectures.caltech.edu/Notes.html","en","A","Caltech copyright; view online; no bulk copying","public","","lecture preparation;work process;teaching","611 scanned pages and description","collection description analyzed; scans not bulk reviewed","Allows later study of preparation and rejected ideas."
"P-2024-001","web","The Power of Oral Histories","AIP Niels Bohr Library & Archives","archive methodology article","2024-07-26","2024","https://www.aip.org/library/the-power-of-oral-histories","en","B","AIP copyright; summary only","public","","oral history;transcription;review;archive context","complete article","full page analyzed","Explains review process and limitations of oral-history transcripts."
"P-2025-001","web","Jenijoy La Belle: A Trailblazer in Academia","The California Tech","institutional historical article","2025-02-18","1970s retrospective","https://tech.caltech.edu/2025/02/18/jenijoy-la-belle-a-trailblazer-in-academia-a-champion-of-literature-and-a-legacy-that-lives-on/","en","B","Caltech student newspaper copyright; summary only","public","","gender discrimination;faculty support;institutional context","complete article","full page summary reviewed","Records Feynman among faculty supporters; does not erase other sexist conduct."
