"source_id","ingest_mode","title","creator_or_speaker","source_type","first_published","date_of_event","url_or_local_reference","language","grade","rights_or_permission","privacy_level","content_checksum","coverage_topics","location_marker","transcript_status","notes"
"P-0480-011","web","论语·先进","孔子及其弟子记录","classical_text","约前480—前350","春秋末至战国早期","https://ctext.org/analects/xian-jin","zh","A","public-domain ancient text; digital edition and translation terms checked separately","public","","弟子；因材施教；音乐；死亡","Book 11","cataloged; selected passages reviewed","同一问题对不同弟子给出不同回答。"
"P-0480-012","web","论语·颜渊","孔子及其弟子记录","classical_text","约前480—前350","春秋末至战国早期","https://ctext.org/analects/yan-yuan","zh","A","public-domain ancient text; digital edition and translation terms checked separately","public","","仁；政治；忠恕；自我约束","Book 12","cataloged; selected passages reviewed","正名、克己和为政放在具体问答中。"
"P-0480-013","web","论语·子路","孔子及其弟子记录","classical_text","约前480—前350","春秋末至战国早期","https://ctext.org/analects/zi-lu","zh","A","public-domain ancient text; digital edition and translation terms checked separately","public","","正名；政治；行动；领导","Book 13","cataloged; selected passages reviewed","先正名再行动不是文字游戏，而是责任对齐。"
"P-0480-014","web","论语·宪问","孔子及其弟子记录","classical_text","约前480—前350","春秋末至战国早期","https://ctext.org/analects/xian-wen","zh","A","public-domain ancient text; digital edition and translation terms checked separately","public","","君子；贫困；责任；政治","Book 14","cataloged; selected passages reviewed","保存乱世中的品格和政治选择张力。"
"P-0480-015","web","论语·卫灵公","孔子及其弟子记录","classical_text","约前480—前350","春秋末至战国早期","https://ctext.org/analects/wei-ling-gong","zh","A","public-domain ancient text; digital edition and translation terms checked separately","public","","忠恕；学习；言行；政治","Book 15","cataloged; selected passages reviewed","“己所不欲”不能简化成放之四海皆准的口号。"
"P-0480-016","web","论语·季氏","孔子及其弟子记录","classical_text","约前480—前350","春秋末至战国早期","https://ctext.org/analects/ji-shi","zh","A","public-domain ancient text; digital edition and translation terms checked separately","public","","权力；教育；财富；政治秩序","Book 16","cataloged; selected passages reviewed","批评季氏的权力扩张，同时讨论教育和社会责任。"
"P-0480-017","web","论语·阳货","孔子及其弟子记录","classical_text","约前480—前350","春秋末至战国早期","https://ctext.org/analects/yang-huo","zh","A","public-domain ancient text; digital edition and translation terms checked separately","public","","性相近；礼；语言；政治","Book 17","cataloged; selected passages reviewed","文本层次和孔子与阳货对话的可靠性需谨慎。"
"P-0480-018","web","论语·微子、子张、尧曰","孔子及其弟子记录","classical_text","约前480—前350","春秋末至战国早期","https://ctext.org/analects","zh","A","public-domain ancient text; digital edition and translation terms checked separately","public","","隐逸；仕进；学习；政治","Books 18-20","cataloged; selected passages reviewed","后段材料层次复杂，作为交叉证据而非单独定论。"
"P-0400-001","web","左传中的孔子相关叙事","左丘明传统及早期史料","historical_record","约前400","春秋时期事件","https://ctext.org/zuo-zhuan","zh","A","public-domain ancient text; digital edition and translation terms checked separately","public","","生平；鲁国政治；外交；子产","selected passages","cataloged; selected passages reviewed","早于史记但仍是后世编纂的叙事史料。"
"P-0300-001","web","孟子中的孔子形象","孟子及其学派","later_reception","约前300","战国中期","https://ctext.org/mengzi","zh","A","public-domain ancient text; digital edition and translation terms checked separately","public","","后世孔子；政治；圣人；仁政","selected passages","cataloged; selected passages reviewed","用于观察战国儒者如何重塑孔子，不直接充当本人话语。"
"P-0300-002","web","荀子中的孔子形象","荀子及其学派","later_reception","约前300","战国晚期","https://ctext.org/xunzi","zh","A","public-domain ancient text; digital edition and translation terms checked separately","public","","后世孔子；礼；教育；性情","selected passages","cataloged; selected passages reviewed","与孟子、论语互相校正后世解释。"
"P-0220-001","web","史记·孔子世家","司马迁","historical_biography","约前100","春秋末至西汉","https://ctext.org/shiji/kong-zi-shi-jia/zh","zh","A","public-domain ancient text; digital edition and translation terms checked separately","public","","生平；周游列国；弟子；删述六经","全文范围；重点段落","cataloged; selected passages reviewed","汉代传记混合早期材料、传说和文学化结构。"
"P-0200-001","web","汉书·艺文志及早期目录传统","班固","bibliography","约公元80","西汉以前文献整理","https://ctext.org/han-shu/yi-wen-zhi/zh","zh","A","public-domain ancient text; digital edition and translation terms checked separately","public","","论语成书；经典目录；传承","selected passages","cataloged; selected passages reviewed","用于说明文本流传和目录层次，不用于补写孔子性格。"
"P-2017-001","web","Confucius","Robert Eno / Stanford Encyclopedia of Philosophy","scholarly_reference","2013/2017 archive","现代研究","https://plato.stanford.edu/archives/fall2017/entries/confucius/","en","B","open academic reference; cite page and respect site terms","public","","生平；伦理；政治；教育；文本层次","sections 1-4","reviewed","说明早期材料互相矛盾，避免把史记传说当确定生平。"
"P-2020-001","web","Confucius: Ethics and Ritual","Stanford Encyclopedia of Philosophy","scholarly_reference","2020 archive","现代研究","https://plato.stanford.edu/archives/sum2020/entries/confucius/","en","B","open academic reference; cite page and respect site terms","public","","仁；礼；情感训练；道德修养","sections on ethics and ritual","reviewed","用于交叉解释礼如何训练情感，而非只表示外在秩序。"
"P-2003-001","web","Confucius","Stanford Encyclopedia of Philosophy","scholarly_reference","2003 archive","现代研究","https://plato.stanford.edu/archives/spr2003/entries/confucius/","en","B","open academic reference; cite page and respect site terms","public","","正名；社会哲学；教育；天命","selected sections","reviewed","作为早期学术综述，避免把现代“儒家”概念倒灌。"
"P-2009-001","web","The Analects: A Philosophical Translation","Edward Slingerland","modern_translation","2003","现代译注","https://ctext.org/resource.pl?if=en&res=837","en","B","translation copyright; metadata and non-substitutive summaries only","public","","论语翻译；语境；教学；礼","book-level resource","cataloged; selected arguments reviewed","不保存译文长段，只记录解释分歧和定位。"
"P-1861-001","web","The Chinese Classics, volume 1","James Legge","modern_translation","1861","现代早期译本","https://ctext.org/analects","en","B","public-domain translation; digital edition terms checked separately","public","","论语；早期西译；术语","digital edition","cataloged; selected passages reviewed","译文是辅助，不作为唯一语义依据。"
"P-2024-001","web","Chinese Text Project Analects digital base text","Chinese Text Project","digital_edition","2006-2026","古典文本数字化","https://ctext.org/analects","zh","B","digital database terms; no bulk download; link to chapters","public","","版本；底本；章节定位","digital edition metadata","reviewed","网站说明其数字底本与武英殿十三经注疏本等版本关系。"
