"source_id","ingest_mode","title","creator_or_speaker","source_type","first_published","date_of_event","url_or_local_reference","language","grade","rights_or_permission","privacy_level","content_checksum","coverage_topics","location_marker","transcript_status","notes"
"P-1927-002","web","无声的中国","鲁迅","speech","1927","1927-02-16","https://zh.wikisource.org/zh-hans/无声的中国","zh","A","public-domain work; transcription terms apply","public","","language; public voice; literacy; power","complete work","full page analyzed","Speech in Hong Kong."
"P-1927-003","web","答有恒先生","鲁迅","open letter / essay","1927","1927","https://zh.wikisource.org/zh-hans/答有恒先生","zh","A","public-domain work; transcription terms apply","public","","violence; youth; disillusionment; self-correction","complete work","full page analyzed","Shows revision of earlier optimism about youth."
"P-1927-004","web","文艺与政治的歧途","鲁迅","speech","1927","1927-12-21","https://zh.wikisource.org/zh-hans/文艺与政治的歧途","zh","A","public-domain work; transcription terms apply","public","","literature; politics; revolution; dissent","complete work","full page analyzed","Author-revised speech record."
"P-1927-005","web","革命时代的文学","鲁迅","speech","1927","1927-04-08","https://zh.wikisource.org/zh-hans/革命时代的文学","zh","A","public-domain work; transcription terms apply","public","","revolution; literature; propaganda; power","complete work","cataloged; selected sections reviewed","Contextualize within 1927 Guangzhou."
"P-1927-006","web","小杂感","鲁迅","essay fragments","1927","1927","https://zh.wikisource.org/zh-hans/小杂感","zh","A","public-domain work; transcription terms apply","public","","society; hypocrisy; observation; language","complete work","selected sections analyzed","Aphoristic form; avoid turning fragments into universal laws."
"P-1928-001","web","文学和出汗","鲁迅","essay","1928","1928","https://zh.wikisource.org/zh-hans/文学和出汗","zh","A","public-domain work; transcription terms apply","public","","class; universality claims; literature","complete work","full page analyzed","Challenges abstract human-nature claims."
"P-1930-001","web","流氓的变迁","鲁迅","essay","1930","1930","https://zh.wikisource.org/zh-hans/流氓的变迁","zh","A","public-domain work; transcription terms apply","public","","social types; history; violence","complete work","cataloged; selected sections reviewed","Historical claims require contextual checking."
"P-1930-002","web","非革命的急进革命论者","鲁迅","essay","1930","1930","https://zh.wikisource.org/zh-hans/非革命的急进革命论者","zh","A","public-domain work; transcription terms apply","public","","radical rhetoric; spectatorship; responsibility","complete work","cataloged; selected sections reviewed","Useful for performative radicalism."
"P-1933-001","web","为了忘却的记念","鲁迅","memorial essay","1933","1933-04-01","https://zh.wikisource.org/zh-hans/为了忘却的记念","zh","A","public-domain work; transcription terms apply","public","","memory; repression; friendship; grief","complete work","full page analyzed","First-person memorial source."
"P-1933-002","web","小品文的危机","鲁迅","essay","1933","1933","https://zh.wikisource.org/zh-hans/小品文的危机","zh","A","public-domain work; transcription terms apply","public","","satire; public writing; social conflict","complete work","cataloged; selected sections reviewed","Contains contextual discussion of essay form."
"P-1934-001","web","拿来主义","鲁迅","essay","1934","1934-06-04","https://zh.wikisource.org/zh-hans/拿来主义","zh","A","public-domain work; transcription terms apply","public","","culture; selection; agency; tradition","complete work","full page analyzed","Metaphorical reasoning central."
"P-1934-002","web","中国人失掉自信力了吗","鲁迅","essay","1934","1934-09-25","https://zh.wikisource.org/zh-hans/中国人失掉自信力了吗","zh","A","public-domain work; transcription terms apply","public","","collective labels; evidence; self-deception; action","complete work","full page analyzed","Rejects totalizing claims about a people."
"P-1934-003","web","门外文谈","鲁迅","essay series","1934","1934","https://zh.wikisource.org/zh-hans/门外文谈","zh","A","public-domain work; transcription terms apply","public","","language; writing; class; public access","complete work","selected sections analyzed","Long series; not fully quoted."
"P-1934-004","web","从孩子的照相说起","鲁迅","essay","1934","1934","https://zh.wikisource.org/zh-hans/从孩子的照相说起","zh","A","public-domain work; transcription terms apply","public","","children; conformity; social discipline","complete work","cataloged; selected sections reviewed","Child-centered social observation."
"P-1935-001","web","什么是讽刺","鲁迅","essay","1935","1935","https://zh.wikisource.org/zh-hans/什么是讽刺","zh","A","public-domain work; transcription terms apply","public","","satire; truth; exaggeration; literature","complete work","full page analyzed","Direct discussion of satirical method."
"P-1935-002","web","论人言可畏","鲁迅","essay","1935","1935","https://zh.wikisource.org/zh-hans/论人言可畏","zh","A","public-domain work; transcription terms apply","public","","public opinion; rumor; power; gender","complete work","cataloged; selected sections reviewed","Context-specific social criticism."
"P-1935-003","web","在现代中国的孔夫子","鲁迅","essay","1935","1935","https://zh.wikisource.org/zh-hans/在现代中国的孔夫子","zh","A","public-domain work; transcription terms apply","public","","Confucius; authority; political use of tradition","complete work","selected sections analyzed","Distinguish historical Confucius from later political icon."
"P-1936-001","web","死","鲁迅","essay","1936","1936","https://zh.wikisource.org/zh-hans/死_(鲁迅)","zh","A","public-domain work; transcription terms apply","public","","death; enemies; forgiveness; self-position","complete work","cataloged; selected sections reviewed","Late text; avoid decontextualized slogans."
"P-1936-002","web","答徐懋庸并关于抗日统一战线问题","鲁迅","open letter / essay","1936","1936","https://zh.wikisource.org/zh-hans/答徐懋庸并关于抗日统一战线问题","zh","A","public-domain work; transcription terms apply","public","","coalition; political struggle; intellectual independence","complete work","cataloged; selected sections reviewed","Dense factional context; use cautiously."
"P-1933-003","web","两地书","鲁迅、许广平","edited letters","1933","letters 1925-1929","https://zh.wikisource.org/zh-hans/两地书","zh","A","public-domain letters; edition/transcription terms apply","public","","daily life; teaching; relationship; writing","collection","cataloged; not fully ingested","Edited correspondence; third-party privacy historical but public."
"P-1938-001","web","鲁迅全集初版数字扫描","鲁迅先生纪念委员会","collected works scan","1938","1938","https://commons.wikimedia.org/wiki/File:NLC416-01jh008989-61036_魯迅全集.pdf","zh","A","public-domain scan; repository terms apply","public","","complete works; edition control","multi-volume scan","catalog scope verified; not bulk ingested","Used as edition backstop, not copied into repo."
"P-2025-001","web","鲁迅手稿数据库介绍","中国国家图书馆","institutional archive description","2025","2025","https://www.nlc.cn/web/ziyuanfuwu/ziyuantuijian/sjksx/20250604_2646250.shtml","zh","A","institutional page; link only","public","","manuscripts; letters; diaries; provenance","database overview","full page verified","Reports 4538 title records and 33065 images."
"P-2025-002","web","北京鲁迅博物馆馆藏与机构介绍","北京市文物局","institutional collection description","2025","2025","https://wwj.beijing.gov.cn/bjww/362771/362773/546583/index.html","zh","A","government page; link only","public","","biography; manuscripts; collections; editions","museum introduction","full page verified","Institution holds manuscripts, books, art, letters and editions."
"P-2026-001","web","维基文库鲁迅作者页","Wikimedia contributors","digital text index","2026","accessed 2026-08-03","https://zh.wikisource.org/zh-hans/Author:周树人","zh","B","CC BY-SA site; underlying works public domain where marked","public","","works index; editions; publication dates","author index","catalog scope verified","Navigation and transcription source; verify sensitive claims against editions."
